Date,Product ID,Store ID,Actual_Demand,Baseline_Forecast,ML_Forecast,Final_Forecast,Forecast_Error
2023-09-18,P0007,S005,111,95.0,110.6801928817453,110.6801928817453,0.3198071182547011
2023-09-18,P0010,S004,89,236.0,88.87195811172815,88.87195811172815,0.12804188827185214
2023-09-18,P0003,S005,50,101.0,49.791506093546744,49.791506093546744,0.20849390645325627
2023-09-18,P0001,S005,264,359.0,264.38117244868425,264.38117244868425,-0.3811724486842536
2023-09-18,P0002,S001,63,40.0,62.82748468315606,62.82748468315606,0.17251531684394195
2023-09-18,P0003,S004,121,43.0,121.29429986779606,121.29429986779606,-0.294299867796056
2023-09-18,P0014,S002,49,2.0,49.34613327714935,49.34613327714935,-0.34613327714934883
2023-09-18,P0018,S004,4,48.0,4.6464040174263745,4.6464040174263745,-0.6464040174263745
2023-09-18,P0005,S005,40,127.0,41.26988602189452,41.26988602189452,-1.2698860218945214
2023-09-18,P0019,S001,60,146.0,59.86100308157647,59.86100308157647,0.1389969184235298
2023-09-18,P0018,S001,219,129.0,219.05705768366744,219.05705768366744,-0.057057683667437686
2023-09-18,P0016,S001,138,363.0,137.1476433067149,137.1476433067149,0.8523566932850883
2023-09-18,P0014,S004,124,220.0,124.17638724727051,124.17638724727051,-0.1763872472705117
2023-09-18,P0005,S001,62,220.0,62.39786171898521,62.39786171898521,-0.3978617189852116
2023-09-18,P0008,S002,145,167.0,145.18889060213044,145.18889060213044,-0.18889060213044218
2023-09-18,P0018,S002,12,150.0,12.182612191085829,12.182612191085829,-0.1826121910858287
2023-09-18,P0003,S003,0,151.0,0.19487380994463283,0.19487380994463283,-0.19487380994463283
2023-09-18,P0008,S001,91,6.0,91.18310039526914,91.18310039526914,-0.18310039526913613
2023-09-18,P0019,S002,103,34.0,102.54954553409608,102.54954553409608,0.4504544659039169
2023-09-18,P0005,S003,4,239.0,3.9481073101466277,3.9481073101466277,0.051892689853372254
2023-09-18,P0004,S001,31,183.0,31.107190772798614,31.107190772798614,-0.10719077279861366
2023-09-18,P0003,S001,328,93.0,326.8749194264928,326.8749194264928,1.125080573507205
2023-09-18,P0005,S002,43,15.0,42.83711440302248,42.83711440302248,0.16288559697751737
2023-09-18,P0001,S002,312,93.0,313.2583136224534,313.2583136224534,-1.258313622453386
2023-09-18,P0010,S003,127,171.0,127.56059641492055,127.56059641492055,-0.5605964149205533
2023-09-18,P0020,S005,71,61.0,70.74811027136602,70.74811027136602,0.2518897286339836
2023-09-18,P0019,S004,206,143.0,205.12627903882137,205.12627903882137,0.8737209611786341
2023-09-18,P0019,S005,121,99.0,120.7866323701943,120.7866323701943,0.21336762980570256
2023-09-18,P0013,S004,225,102.0,225.28328690044196,225.28328690044196,-0.2832869004419649
2023-09-18,P0014,S001,47,50.0,47.277800294866786,47.277800294866786,-0.27780029486678615
2023-09-18,P0011,S005,77,22.0,76.35605857757378,76.35605857757378,0.6439414224262237
2023-09-18,P0016,S004,1,178.0,0.40969194727557967,0.40969194727557967,0.5903080527244203
2023-09-18,P0004,S003,6,127.0,6.443899654822022,6.443899654822022,-0.4438996548220224
2023-09-18,P0009,S003,382,26.0,381.36594359481734,381.36594359481734,0.6340564051826618
2023-09-18,P0004,S002,90,89.0,90.08700968368937,90.08700968368937,-0.08700968368937367
2023-09-18,P0012,S001,347,99.0,349.02323618348635,349.02323618348635,-2.023236183486347
2023-09-18,P0001,S004,218,11.0,216.9488317529104,216.9488317529104,1.0511682470896062
2023-09-18,P0005,S004,263,0.0,261.7929814627976,261.7929814627976,1.207018537202373
2023-09-18,P0006,S005,110,182.0,110.43586798033355,110.43586798033355,-0.4358679803335548
2023-09-18,P0001,S001,262,139.0,261.57813667347585,261.57813667347585,0.4218633265241465
2023-09-18,P0002,S004,20,77.0,20.028768079534593,20.028768079534593,-0.028768079534593483
2023-09-18,P0020,S001,386,83.0,387.0110843848971,387.0110843848971,-1.0110843848971172
2023-09-18,P0004,S005,9,140.0,8.929471021082417,8.929471021082417,0.07052897891758292
2023-09-18,P0015,S003,69,389.0,68.81254164148307,68.81254164148307,0.1874583585169347
2023-09-18,P0014,S003,63,23.0,62.4322203104097,62.4322203104097,0.5677796895903029
2023-09-18,P0013,S005,99,132.0,99.62878280485536,99.62878280485536,-0.6287828048553621
2023-09-18,P0001,S003,43,86.0,43.407394275602094,43.407394275602094,-0.40739427560209407
2023-09-18,P0006,S004,1,19.0,1.0853071466237223,1.0853071466237223,-0.0853071466237223
2023-09-18,P0015,S002,57,338.0,56.65098765661795,56.65098765661795,0.34901234338205
2023-09-18,P0007,S001,206,191.0,204.42311998062863,204.42311998062863,1.576880019371373
2023-09-18,P0016,S005,15,245.0,15.478036384181168,15.478036384181168,-0.4780363841811681
2023-09-18,P0012,S003,72,34.0,72.55219037554555,72.55219037554555,-0.5521903755455497
2023-09-18,P0006,S003,80,98.0,81.0608427219684,81.0608427219684,-1.060842721968399
2023-09-18,P0006,S002,77,91.0,77.51573187081252,77.51573187081252,-0.515731870812516
2023-09-18,P0007,S004,173,203.0,173.45269096993522,173.45269096993522,-0.45269096993521885
